Category,#,Item Name,Rarity,Description (from DCC lore),Current Effect In Game,Your Proposed Effect
POTIONS,4,Potion of Invisibility,epic,You can't hit what you can't see,Target card becomes untargetable for 2 turns,
POTIONS,5,Size-Up Potion,rare,Everything about you gets bigger. Everything.,Target card +20 STR +20 CON for 3 turns,
POTIONS,6,Level-Up Potion,legendary,Instantly grants one level worth of growth,Target card permanently gains +10 STR +10 INT +20 CON,
POTIONS,7,Cheat Code Potion,legendary,Breaks one rule of the game. The system frowns upon this.,Random powerful effect (double all stats 1 turn OR full heal team OR extra turn),
POTIONS,8,Mordecai's Special Brew,rare,The manager's personal recipe. Side effects vary.,Random buff: +40 to a random stat for 3 turns,
POTIONS,9,Mana Potion,common,Blue fizzy liquid. Tastes like electricity.,+3 mana this turn,
POTIONS,10,Cosmic Buff Potion,epic,Distilled starlight in a bottle,All cards +20 STR +20 INT for 2 turns,
POTIONS,11,Potion of Dinosaur Repellent,uncommon,Smells awful to reptiles. Mongo hates it.,Enemy beasts take double damage for 2 turns,
POTIONS,12,Hair of the Dog Potion,common,Cures what ails you. Mostly.,Remove all debuffs from one card,
POTIONS,13,Rapid Detox Potion,uncommon,Flushes all toxins instantly,Remove poison/burning/bleeding from all allies,
POTIONS,14,Superb Constitution Buff Potion,uncommon,Thick and chunky. Don't ask what's in it.,Target card +30 CON for 3 turns,
POTIONS,15,Dolores Doesn't Splat Potion,uncommon,Named after someone who tested it from a great height,Target card survives next lethal hit at 1 HP (one-time),
SCROLLS & SPELLS,1,Laundry Day Spell,epic,Ejects a god's sponsor removing their chaos effect,Remove chaos effect from active God card OR remove all enemy buffs,
SCROLLS & SPELLS,2,Fireball Spell,rare,Classic. A ball of fire. What more do you need?,AoE fire 28 damage to all enemies,
SCROLLS & SPELLS,3,Protective Shell Spell,uncommon,Creates a shimmering barrier around one ally,Shield one card for 60 damage absorption,
SCROLLS & SPELLS,4,Heal Party Scroll,rare,Ancient healing magic for the whole group,Heal all allies 15 HP,
SCROLLS & SPELLS,5,Scroll of Meat Hooks,rare,Chains yank an enemy into vulnerability,Pull and stun one enemy for 1 turn + mark them (+50% dmg),
SCROLLS & SPELLS,6,Fear Spell,uncommon,Projects pure terror into an enemy's mind,One enemy skips next turn (stunned by fear),
SCROLLS & SPELLS,7,Confusing Fog Spell,uncommon,Fills enemy area with disorienting mist,All enemies attack random targets (including each other) for 1 turn,
SCROLLS & SPELLS,8,Mute Spell,uncommon,Silences all sound around a target,One enemy cannot use abilities for 2 turns,
SCROLLS & SPELLS,9,Brain Freeze Spell,rare,Locks up an enemy's thoughts completely,Stun one enemy for 2 turns,
SCROLLS & SPELLS,10,Clockwork Triplicate,legendary,Creates two copies of a card,Duplicate one of your board cards (2 temporary copies for 3 turns),
SCROLLS & SPELLS,11,Legionnaires of the Damned,legendary,Summons an army of undead warriors,Summon 3 skeleton minions (ATK:30 HP:50 each),
SCROLLS & SPELLS,12,Get Out of Jail Scroll,rare,Emergency escape magic,Return all your board cards to hand (tactical retreat),
SCROLLS & SPELLS,13,Scroll of Upgrade,epic,Permanently enhances one item or card,Permanently +20 to all stats on one card,
SCROLLS & SPELLS,14,Encore Spell,epic,Repeat the last great moment,Repeat the last ability used (free cast same target),
SCROLLS & SPELLS,15,Conscription Spell,epic,Forces an enemy to switch sides,Convert one non-boss enemy to your team permanently,
ARMOR & ACCESSORIES,1,Iron Skin Tattoo,rare,Magical ink that hardens on impact,+30 CON to equipped card + 10% damage reduction,
ARMOR & ACCESSORIES,2,Princess Donut's Tiara,legendary,The original royal tiara of the Queen Anne Chonk,+50 INT +50 CHA to equipped card + spell deflection 25%,
ARMOR & ACCESSORIES,3,Ring of Mana Regen,uncommon,A simple band that hums with energy,+1 mana per turn while equipped,
ARMOR & ACCESSORIES,4,Patch of Thorns,rare,Sewn-on patch that hurts anyone who strikes you,Attackers take 15 damage when they hit this card,
ARMOR & ACCESSORIES,5,Goblin Chainmail,common,Rusty but functional. Smells like goblin.,+15 CON to equipped card,
ARMOR & ACCESSORIES,6,Celestial Armor Fragment,legendary,A piece of divine protection fallen from the heavens,+50 CON + immune to status effects,
ARMOR & ACCESSORIES,7,Bugbear Hide Vest,uncommon,Thick and smelly but surprisingly protective,+20 CON to equipped card,
ARMOR & ACCESSORIES,8,Ring of Lifesteal,epic,Heals the wearer for a portion of damage dealt,Card heals 25% of damage dealt,
ARMOR & ACCESSORIES,9,Shade Gnoll Cloak,rare,Dark cloak that makes you harder to spot,+20 DEX + 20% chance to dodge attacks entirely,
ARMOR & ACCESSORIES,10,Hobgoblin Shield,uncommon,Standard-issue dungeon shield,+20 CON to equipped card,
ARMOR & ACCESSORIES,11,Crawler's Lucky Charm,common,A found trinket that seems to bring good fortune,+10% loot quality from kills,
ARMOR & ACCESSORIES,12,Dungeon Anarchist's Cookbook,legendary,The most dangerous book in the dungeon. Recipes for rule-breaking.,Equipped card can combine 2 inventory items into a new item (crafting),
ARMOR & ACCESSORIES,13,Velvet Slippers of the Dancer,epic,Silent and graceful. +DEX through elegance.,+40 DEX + first strike on all attacks,
ARMOR & ACCESSORIES,14,Amulet of the Audience,rare,Glows when viewers are watching closely,+30 CHA + double sponsor favor gains,
ARMOR & ACCESSORIES,15,Borant Corp Employee Badge,common,Technically you work here now. Minor benefits.,+10 all stats,
